1 | walter | 1234 | 1200.0
2 | maria | 1234 | 1600.0
3 | pedro | 1234 | 2500.0
4 | ana | 1234 | 4500.0
5 | carlos | 1234 | 800.0
6 | sofia | 1234 | 3200.0
7 | luis | 1234 | 1900.0
8 | elena | 1234 | 5500.0
9 | jorge | 1234 | 1350.0
10 | lucia | 1234 | 2800.0
11 | miguel | 1234 | 4200.0
12 | carmen | 1234 | 950.0
13 | diego | 1234 | 3100.0
14 | rosa | 1234 | 2400.0
15 | pablo | 1234 | 1750.0
16 | julia | 1234 | 3800.0
17 | oscar | 1234 | 1100.0
18 | marta | 1234 | 4900.0
19 | hugo | 1234 | 2250.0
20 | sara | 1234 | 3600.0
